#word,len,pattern,sortedword
Borealis,8,ABCDEFGH,Baeilors
Boreas,6,ABCDEF,Baeors
boredom,7,ABCDEBF,bdemoor
Borg,4,ABCD,Bgor
boric,5,ABCDE,bcior
boring,6,ABCDEF,bginor
born,4,ABCD,bnor
borne,5,ABCDE,benor
Borneo,6,ABCDEB,Benoor
boron,5,ABCBD,bnoor
borosilicate,12,ABCBDEFEGHIJ,abceiiloorst
borough,7,ABCBDEF,bghooru
boroughs,8,ABCBDEFG,bghoorsu
Borroughs,9,ABCCBDEFG,Bghoorrsu
borrow,6,ABCCBD,boorrw
Bose,4,ABCD,Beos
bosom,5,ABCBD,bmoos
boson,5,ABCBD,bnoos
boss,4,ABCC,boss
Bostitch,8,ABCDEDFG,Bchiostt
Boston,6,ABCDBE,Bnoost
Bostonian,9,ABCDBEFGE,Bainnoost
bosun,5,ABCDE,bnosu
Boswell,7,ABCDEFF,Bellosw
botanic,7,ABCDEFG,abcinot
botanical,9,ABCDEFGDH,aabcilnot
botanist,8,ABCDEFGC,abinostt
botany,6,ABCDEF,abnoty
botch,5,ABCDE,bchot
botfly,6,ABCDEF,bfloty
both,4,ABCD,bhot
bother,6,ABCDEF,behort
bothersome,10,ABCDEFGBHE,beehmoorst
Botswana,8,ABCDEFGF,Baanostw
bottle,6,ABCCDE,belott
bottleneck,10,ABCCDEFEGH,bceeklnott
bottom,6,ABCCBD,bmoott
bottomless,10,ABCCBDEFGG,belmoosstt
bottommost,10,ABCCBDDBEC,bmmooosttt
botulin,7,ABCDEFG,bilnotu
botulinus,9,ABCDEFGDH,bilnostuu
botulism,8,ABCDEFGH,bilmostu
bouffant,8,ABCDDEFG,abffnotu
bough,5,ABCDE,bghou
boughs,6,ABCDEF,bghosu
bought,6,ABCDEF,bghotu
bouillon,8,ABCDEEBF,billnoou
boulder,7,ABCDEFG,bdeloru
boulevard,9,ABCDEFGHI,abdeloruv
bounce,6,ABCDEF,bcenou
bouncing,8,ABCDEFDG,bcginnou
bouncy,6,ABCDEF,bcnouy
bound,5,ABCDE,bdnou
boundary,8,ABCDEFGH,abdnoruy
bounded,7,ABCDEFE,bddenou
boundless,9,ABCDEFGHH,bdelnossu
bounds,6,ABCDEF,bdnosu
bounteous,9,ABCDEFBCG,benoostuu
bounty,6,ABCDEF,bnotuy
bouquet,7,ABCDCEF,beoqtuu
bourbon,7,ABCDABE,bbnooru
bourgeois,9,ABCDEFBGH,begioorsu
bourgeoisie,11,ABCDEFBGHGF,beegiioorsu
Bourne,6,ABCDEF,Benoru
bout,4,ABCD,botu
boutique,8,ABCDEFCG,beioqtuu
Bouvier,7,ABCDEFG,Beioruv
bovine,6,ABCDEF,beinov
bow,3,ABC,bow
bowdlerize,10,ABCDEFGHIF,bdeeilorwz
bowed,5,ABCDE,bdeow
bowel,5,ABCDE,below
Bowes,5,ABCDE,Beosw
bowie,5,ABCDE,beiow
bowl,4,ABCD,blow
bowline,7,ABCDEFG,beilnow
bowman,6,ABCDEF,abmnow
